,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,location_id
1,,Albania,2021-04-01 04:27:05,41.1533,20.1683,125157,2235,91271.0,31651.0,Albania,4349.051358676767,1.7857570890960952,0
2,,Algeria,2021-04-01 04:27:05,28.0339,1.6596,117192,3093,81538.0,32561.0,Algeria,267.2501997272904,2.639258652467745,1
3,,Andorra,2021-04-01 04:27:05,42.5063,1.5218,12010,115,11315.0,580.0,Andorra,15543.907331909662,0.9575353871773522,2
4,,Angola,2021-04-01 04:27:05,-11.2027,17.8739,22311,537,20493.0,1281.0,Angola,67.88419056279831,2.406884496436735,3
6,,Argentina,2021-04-01 04:27:05,-38.4161,-63.6167,2348821,55858,2102616.0,190347.0,Argentina,5196.99218800907,2.378129282733763,4
7,,Armenia,2021-04-01 04:27:05,40.0691,45.0382,192639,3515,173064.0,16060.0,Armenia,6500.971573625303,1.8246564818131323,5
9,New South Wales,Australia,2021-04-01 04:27:05,-33.8688,151.2093,5296,54,0.0,5242.0,"New South Wales, Australia",65.23774328652378,1.0196374622356494,6
16,,Austria,2021-04-01 04:27:05,47.5162,14.5501,546229,9339,501116.0,35774.0,Austria,6064.8982945461,1.7097224790335188,7
17,,Azerbaijan,2021-04-01 04:27:05,40.1431,47.5769,261713,3567,238125.0,20021.0,Azerbaijan,2581.206064595985,1.362943376905236,8
18,,Bahamas,2021-04-01 04:27:05,25.025885,-78.035889,9119,188,8597.0,334.0,Bahamas,2318.892912360648,2.061629564645246,9
19,,Bahrain,2021-04-01 04:27:05,26.0275,50.55,144445,521,135315.0,8609.0,Bahrain,8488.860079114565,0.3606909204195369,10
20,,Bangladesh,2021-04-01 04:27:05,23.685,90.3563,611295,9046,542099.0,60150.0,Bangladesh,371.180575738753,1.4798092573961834,11
21,,Barbados,2021-04-01 04:27:05,13.1939,-59.5432,3652,42,3465.0,145.0,Barbados,1270.8310859481298,1.1500547645125958,12
22,,Belarus,2021-04-01 04:27:05,53.7098,27.9534,321807,2247,312320.0,7240.0,Belarus,3405.609778734366,0.6982446000242382,13
